Quantity,Name,Sets,Conditions,Languages,Finishes,Paused,Tags,Offer,Limit
8,Ambassador Laquatus,10th Edition,NM,EN,N,,,1000,0.10414899333335646
8,Arcane Teachings,10th Edition,NM,EN,N,,,1000,0.01
8,Arcanis the Omnipotent,10th Edition,NM,EN,N,,,1000,0.2916882464451085
8,Ascendant Evincar,10th Edition,NM,EN,N,,,1000,0.05240505586914834
8,Aura of Silence,10th Edition,NM,EN,N,,,1000,1.525434550081837
8,Avatar of Might,10th Edition,NM,EN,N,,,1000,0.024674534193990974
8,Battlefield Forge,10th Edition,NM,EN,N,,,1000,0.4498831023557566
8,Cancel,10th Edition,NM,EN,N,,,1000,0.01
8,Caves of Koilos,10th Edition,NM,EN,N,,,1000,0.4498831023557566
8,Coat of Arms,10th Edition,NM,EN,N,,,1000,5.728153846153846
8,Colossus of Sardia,10th Edition,NM,EN,N,,,1000,0.038468123751767384
8,Commune with Nature,10th Edition,NM,EN,N,,,1000,0.01
8,Composite Golem,10th Edition,NM,EN,N,,,1000,0.014804964283452083
8,Condemn,10th Edition,NM,EN,N,,,1000,0.010746666395625278
8,Consume Spirit,10th Edition,NM,EN,N,,,1000,0.01
8,Counsel of the Soratami,10th Edition,NM,EN,N,,,1000,0.01
8,Demon's Horn,10th Edition,NM,EN,N,,,1000,0.01
8,Denizen of the Deep,10th Edition,NM,EN,N,,,1000,0.028041722454243155
8,Diabolic Tutor,10th Edition,NM,EN,N,,,1000,0.1456362988278164
8,Discombobulate,10th Edition,NM,EN,N,,,1000,0.010746666395625278
8,Doomed Necromancer,10th Edition,NM,EN,N,,,1000,0.13743033121660608
8,Doubling Cube,10th Edition,NM,EN,N,,,1000,16.21828846153846
8,Dragon Roost,10th Edition,NM,EN,N,,,1000,0.10414899333335646
8,Dragon's Claw,10th Edition,NM,EN,N,,,1000,0.01
8,Dreamborn Muse,10th Edition,NM,EN,N,,,1000,0.2916882464451085
8,Dross Crocodile,10th Edition,NM,EN,N,,,1000,0.01
8,Drudge Skeletons,10th Edition,NM,EN,N,,,1000,0.01
8,Elven Riders,10th Edition,NM,EN,N,,,1000,0.01
8,Elvish Champion,10th Edition,NM,EN,N,,,1000,4.0978151416591775
8,Elvish Piper,10th Edition,NM,EN,N,,,1000,2.4812648220617284
8,Evacuation,10th Edition,NM,EN,N,,,1000,2.4812648220617284
8,Field Marshal,10th Edition,NM,EN,N,,,1000,1.9140696379183288
8,Fountain of Youth,10th Edition,NM,EN,N,,,1000,0.010746666395625278
8,Furnace of Rath,10th Edition,NM,EN,N,,,1000,3.466365384615385
8,Gaea's Herald,10th Edition,NM,EN,N,,,1000,0.7690845601109696
8,Giant Growth,10th Edition,NM,EN,N,,,1000,0.01
8,Glorious Anthem,10th Edition,NM,EN,N,,,1000,0.21209015629915418
8,Goblin Elite Infantry,10th Edition,NM,EN,N,,,1000,0.01
8,Goblin Lore,10th Edition,NM,EN,N,,,1000,0.08135747339564811
8,Grave Pact,10th Edition,NM,EN,N,,,1000,13.19809615384615
8,Graveborn Muse,10th Edition,NM,EN,N,,,1000,0.8465204502446053
8,Holy Strength,10th Edition,NM,EN,N,,,1000,0.01
8,Honor Guard,10th Edition,NM,EN,N,,,1000,0.01
8,Horseshoe Crab,10th Edition,NM,EN,N,,,1000,0.01
8,Howling Mine,10th Edition,NM,EN,N,,,1000,2.4812648220617284
8,Hunted Wumpus,10th Edition,NM,EN,N,,,1000,0.01
8,Hurkyl's Recall,10th Edition,NM,EN,N,,,1000,0.8572875601597428
8,Hurricane,10th Edition,NM,EN,N,,,1000,0.038468123751767384
8,Hypnotic Specter,10th Edition,NM,EN,N,,,1000,0.2916882464451085
